,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
401,Jalen Rose,2006,2006,1,26,747,110,239,28,57,82,101,13,82,68,10,3,50,55,330,.460,.491,.812,28.7,12.7,3.2,2.6,roseja01
402,Malik Rose,2005,2009,5,230,3196,330,862,6,26,262,338,200,682,188,101,38,248,453,928,.383,.231,.775,13.9,4.0,3.0,0.8,rosema01
403,Hank Rosenstein,1947,1947,1,31,,38,145,,,57,95,,,19,,,,71,133,.262,,.600,,4.3,,0.6,rosenha01
404,Irv Rothenberg,1949,1949,1,53,,101,367,,,112,174,,,68,,,,174,314,.275,,.644,,5.9,,1.3,rotheir01
405,John Rudd,1979,1979,1,58,723,59,133,,,66,93,69,167,35,17,8,59,95,184,.444,,.710,12.5,3.2,2.9,0.6,ruddjo01
406,John Rudometkin,1963,1965,3,109,1290,265,641,,,160,211,,320,56,,,,149,690,.413,,.758,11.8,6.3,2.9,0.5,rudomjo01
407,Campy Russell,1981,1982,2,156,5223,918,1953,33,83,496,637,195,589,541,176,20,407,469,2365,.470,.398,.779,33.5,15.2,3.8,3.5,russeca02
408,Cazzie Russell,1967,1971,5,344,8256,1858,4062,,,868,1096,,1262,709,,,,748,4584,.457,,.792,24.0,13.3,3.7,2.1,russeca01
409,Cheikh Samb,2009,2009,1,2,8,0,3,0,0,0,2,1,2,0,0,0,0,0,0,.000,,.000,4.0,0.0,1.0,0.0,sambch01
410,Bob Santini,1956,1956,1,4,23,5,10,,,1,2,,3,1,,,,4,11,.500,,.500,5.8,2.8,0.8,0.3,santibo01
411,DeWayne Scales,1981,1982,2,47,508,95,230,1,6,27,41,49,137,10,13,5,32,57,218,.413,.167,.659,10.8,4.6,2.9,0.2,scalede01
