,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
117,Rickey Green,1990,1990,1,69,927,100,231,1,11,43,51,9,54,182,51,1,62,60,244,.433,.091,.843,13.4,3.5,0.8,2.6,greenri01
118,Sean Green,1992,1993,2,48,337,90,213,5,20,18,32,26,51,29,15,7,36,42,203,.423,.250,.563,7.0,4.2,1.1,0.6,greense01
119,Steve Green,1977,1979,3,153,1632,281,641,,,143,203,132,300,97,71,17,40,263,705,.438,,.704,10.7,4.6,2.0,0.6,greenst01
120,Orien Greene,2007,2007,1,41,254,23,62,2,11,15,25,12,44,22,17,4,28,38,63,.371,.182,.600,6.2,1.5,1.1,0.5,greenor01
121,Dick Grubar,1970,1970,1,2,8,2,3,0,0,0,0,0,0,1,,,0,1,4,.667,,,4.0,2.0,0.0,0.5,grubadi01
122,Rudy Hackett,1977,1977,1,5,38,3,8,,,6,9,3,10,3,0,1,,7,12,.375,,.667,7.6,2.4,2.0,0.6,hackeru01
123,Marcus Haislip,2005,2005,1,9,106,13,38,0,1,6,11,5,15,3,2,2,6,15,32,.342,.000,.545,11.8,3.6,1.7,0.3,haislma01
124,Tyrese Haliburton,2022,2023,2,82,2821,574,1164,218,539,248,287,55,317,834,139,40,225,119,1614,.493,.404,.864,34.4,19.7,3.9,10.2,halibty01
125,Darvin Ham,1997,1997,1,1,5,1,1,0,0,1,2,0,0,0,1,0,1,0,3,1.000,,.500,5.0,3.0,0.0,0.0,hamda01
126,Ben Hansbrough,2013,2013,1,28,200,15,45,6,23,21,27,2,18,21,7,2,18,23,57,.333,.261,.778,7.1,2.0,0.6,0.8,hansbbe01
127,Tyler Hansbrough,2010,2013,4,246,4854,736,1724,0,10,723,944,479,1167,135,137,50,240,541,2195,.427,.000,.766,19.7,8.9,4.7,0.5,hansbty01
128,Tim Hardaway,2003,2003,1,10,127,18,49,11,31,2,4,1,15,24,9,0,11,8,49,.367,.355,.500,12.7,4.9,1.5,2.4,hardati01
129,Reggie Harding,1968,1968,1,25,840,142,314,0,1,52,90,,334,53,,,77,59,336,.452,.000,.578,33.6,13.4,13.4,2.1,hardire01
130,Jerry Harkness,1968,1969,2,81,1513,203,461,1,5,182,270,10,227,150,,,97,136,589,.440,.200,.674,18.7,7.3,2.8,1.9,harknje01
131,Al Harrington,1999,2007,7,390,10335,1643,3639,98,290,773,1054,675,2100,534,309,115,719,1191,4157,.451,.338,.733,26.5,10.7,5.4,1.4,harrial01
132,David Harrison,2005,2008,4,189,2686,374,706,0,0,201,383,184,549,47,64,185,216,538,949,.530,,.525,14.2,5.0,2.9,0.2,harrida01
133,Scott Haskin,1994,1994,1,27,186,21,45,0,0,13,19,17,55,6,2,15,13,33,55,.467,,.684,6.9,2.0,2.0,0.2,haskisc01
134,Joe Hassett,1980,1980,1,74,1135,215,509,69,198,24,29,35,94,104,46,8,45,85,523,.422,.348,.828,15.3,7.1,1.3,1.4,hassejo01
135,Luther Head,2010,2010,1,47,813,136,311,37,105,48,58,6,80,72,18,9,54,53,357,.437,.352,.828,17.3,7.6,1.7,1.5,headlu01
136,Roy Hibbert,2009,2015,7,533,13829,2360,5083,6,22,1183,1582,1341,3623,769,201,990,930,1715,5909,.464,.273,.748,25.9,11.1,6.8,1.4,hibbero01
137,Buddy Hield,2022,2023,2,106,3407,656,1443,368,898,137,164,90,532,349,117,36,202,227,1817,.455,.410,.835,32.1,17.1,5.0,3.3,hieldbu01
138,Earle Higgins,1971,1971,1,53,467,104,223,3,17,20,30,48,128,35,,,26,109,231,.466,.176,.667,8.8,4.4,2.4,0.7,higgiea01
139,George Hill,2012,2023,6,330,10285,1426,3175,487,1288,642,808,216,1213,1265,332,100,437,664,3981,.449,.378,.795,31.2,12.1,3.7,3.8,hillge01
140,Jordan Hill,2016,2016,1,73,1513,278,549,0,1,89,125,156,451,87,36,37,92,155,645,.506,.000,.712,20.7,8.8,6.2,1.2,hilljo01
141,Solomon Hill,2014,2016,3,169,3473,361,882,99,305,201,242,118,521,253,108,31,161,264,1022,.409,.325,.831,20.6,6.0,3.1,1.5,hillso01
142,Darnell Hillman,1972,1977,6,477,13317,2076,4365,5,30,917,1402,1340,3999,717,318,611,820,1785,5074,.476,,.654,27.9,10.6,8.4,1.5,hillmda01
143,Nate Hinton,2022,2022,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,.000,,,1.0,0.0,0.0,0.0,hintona01
144,Fred Hoiberg,1996,1999,4,139,1618,166,418,63,167,141,170,33,224,98,73,10,54,175,536,.397,.377,.829,11.6,3.9,1.6,0.7,hoibefr01
145,Aaron Holiday,2019,2021,3,182,3439,508,1261,197,530,183,220,42,312,435,122,42,194,285,1396,.403,.372,.832,18.9,7.7,1.7,2.4,holidaa01
146,Justin Holiday,2020,2022,3,194,5425,656,1569,434,1120,154,193,82,629,302,197,105,147,377,1900,.418,.388,.798,28.0,9.8,3.2,1.6,holidju01
147,Bobby Hooper,1969,1969,1,54,955,112,271,4,32,43,59,35,109,142,,,52,91,271,.413,.125,.729,17.7,5.0,2.0,2.6,hoopebo01
148,Warren Jabali,1971,1971,1,62,1586,227,554,47,163,181,238,64,298,214,,,190,205,682,.410,.288,.761,25.6,11.0,4.8,3.5,jabalwa01
149,Jarrett Jack,2009,2009,1,82,2716,386,853,78,221,224,263,44,276,338,88,17,184,179,1074,.453,.353,.852,33.1,13.1,3.4,4.1,jackja01
150,Isaiah Jackson,2022,2023,2,99,1583,295,524,7,30,155,234,173,431,61,56,145,91,246,752,.563,.233,.662,16.0,7.6,4.4,0.6,jacksis01
151,Mark Jackson,1995,2000,6,405,12083,1265,2916,273,754,609,778,322,1539,3294,453,39,960,659,3412,.434,.362,.783,29.8,8.4,3.8,8.1,jacksma01
152,Ralph Jackson,1985,1985,1,1,12,1,3,0,0,0,0,1,1,4,2,0,1,1,2,.333,,,12.0,2.0,1.0,4.0,jacksra01
153,Stephen Jackson,2005,2007,3,169,5902,982,2397,261,763,578,716,109,657,458,201,77,407,436,2803,.410,.342,.807,34.9,16.6,3.9,2.7,jacksst02
154,Tracy Jackson,1984,1984,1,2,10,1,4,0,0,4,4,1,1,0,0,0,1,3,6,.250,,1.000,5.0,3.0,0.5,0.0,jackstr01
155,DeJon Jarreau,2022,2022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,jarrede01
156,Šarūnas Jasikevičius,2006,2007,2,112,2221,261,650,118,322,180,197,29,201,338,53,4,175,161,820,.402,.366,.914,19.8,7.3,1.8,3.0,jasiksa01
157,Al Jefferson,2017,2018,2,102,1415,346,679,0,4,95,121,105,421,87,35,39,54,191,787,.510,.000,.785,13.9,7.7,4.1,0.9,jeffeal01
158,Britton Johnsen,2005,2005,1,6,87,6,22,0,4,0,0,5,10,4,1,0,3,10,12,.273,.000,,14.5,2.0,1.7,0.7,johnsbr01
