,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
83,Antonis Fotsis,2002,2002,1,28,320,42,104,7,23,17,20,25,62,10,9,11,21,22,108,.404,.304,.850,11.4,3.9,2.2,0.4,fotsian01
84,Adonal Foyle,2009,2009,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,3.0,0.0,0.0,0.0,foylead01
85,Jamaal Franklin,2014,2014,1,21,161,16,39,5,11,2,2,4,23,6,4,2,11,23,39,.410,.455,1.000,7.7,1.9,1.1,0.3,frankja01
86,Tim Frazier,2021,2021,1,5,62,3,20,0,8,2,6,0,8,16,2,1,4,7,8,.150,.000,.333,12.4,1.6,1.6,3.2,fraziti01
87,Marc Gasol,2009,2019,11,769,25917,4341,8978,301,875,2701,3474,1318,5942,2639,708,1135,1607,2242,11684,.484,.344,.777,33.7,15.2,7.7,3.4,gasolma01
88,Pau Gasol,2002,2008,7,476,16904,3324,6533,17,74,2301,3152,1200,4096,1473,247,877,1238,1152,8966,.509,.230,.730,35.5,18.8,8.6,3.1,gasolpa01
89,Kenny Gattison,1996,1996,1,25,570,91,190,0,0,47,78,35,114,14,10,11,40,75,229,.479,,.603,22.8,9.2,4.6,0.6,gattike01
90,Rudy Gay,2007,2013,7,479,17338,3293,7289,488,1420,1488,1929,725,2758,954,640,420,1102,1200,8562,.452,.344,.771,36.2,17.9,5.8,2.0,gayru01
91,Trey Gilder,2010,2010,1,2,5,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1.000,,,2.5,1.0,0.5,0.0,gildetr01
92,Eddie Gill,2002,2002,1,23,384,39,92,7,22,31,39,7,28,49,11,3,34,38,116,.424,.318,.795,16.7,5.0,1.2,2.1,gilled01
93,Jacob Gilyard,2023,2023,1,1,41,1,3,1,3,0,0,0,4,7,3,0,2,3,3,.333,.333,,41.0,3.0,4.0,7.0,gilyaja01
94,Gordan Giriček,2003,2003,1,49,1187,207,478,46,130,88,107,18,108,70,22,6,94,104,548,.433,.354,.822,24.2,11.2,2.2,1.4,giricgo01
95,Drew Gooden,2003,2003,1,51,1329,255,576,14,46,92,132,105,295,63,38,22,105,121,616,.443,.304,.697,26.1,12.1,5.8,1.2,goodedr01
96,Danny Green,2023,2023,1,3,43,3,11,3,8,0,0,1,4,2,1,0,3,6,9,.273,.375,,14.3,3.0,1.3,0.7,greenda02
97,JaMychal Green,2015,2019,5,271,6128,877,1835,151,417,388,505,541,1672,270,163,121,329,732,2293,.478,.362,.768,22.6,8.5,6.2,1.0,greenja01
98,Jeff Green,2015,2016,2,98,2905,450,1049,92,274,242,298,98,428,179,66,40,121,183,1234,.429,.336,.812,29.6,12.6,4.4,1.8,greenje02
99,Marko Guduric,2020,2020,1,44,484,62,157,25,83,24,26,14,73,45,12,8,36,34,173,.395,.301,.923,11.0,3.9,1.7,1.0,gudurma01
100,Hamed Haddadi,2009,2013,5,134,821,102,220,0,5,66,100,104,285,35,6,71,65,164,270,.464,.000,.660,6.1,2.0,2.1,0.3,haddaha01
101,P.J. Hairston,2016,2016,1,18,375,46,132,16,69,16,22,7,46,9,8,4,17,31,124,.348,.232,.727,20.8,6.9,2.6,0.5,hairspj02
102,Dusty Hannahs,2019,2020,2,4,39,7,21,2,8,4,4,0,2,5,1,0,1,2,20,.333,.250,1.000,9.8,5.0,0.5,1.3,hannadu01
103,Junior Harrington,2007,2007,1,29,543,57,137,7,26,31,46,12,68,89,21,5,52,79,152,.416,.269,.674,18.7,5.2,2.3,3.1,harriju01
104,Othella Harrington,2000,2001,2,126,3944,600,1216,0,5,356,452,298,852,133,55,84,321,423,1556,.493,.000,.788,31.3,12.3,6.8,1.1,harriot01
105,Andrew Harrison,2017,2019,3,129,2805,299,791,90,299,272,353,46,267,375,91,47,166,333,960,.378,.301,.771,21.7,7.4,2.1,2.9,harrian01
106,Antonio Harvey,1996,1996,1,18,410,39,95,0,2,20,43,27,94,9,14,21,18,38,98,.411,.000,.465,22.8,5.4,5.2,0.5,harvean01
107,J.R. Henderson,1999,1999,1,30,331,35,96,2,5,25,45,20,47,22,9,4,18,29,97,.365,.400,.556,11.0,3.2,1.6,0.7,hendejr01
108,Myke Henry,2018,2018,1,20,378,41,109,19,58,6,10,10,38,22,31,6,19,28,107,.376,.328,.600,18.9,5.4,1.9,1.1,henrymy01
109,Xavier Henry,2011,2011,1,38,527,65,160,2,17,33,52,9,37,18,11,3,13,48,165,.406,.118,.635,13.9,4.3,1.0,0.5,henryxa01
110,Carl Herrera,1999,1999,1,4,42,3,13,0,0,0,2,5,8,3,0,0,4,3,6,.231,,.000,10.5,1.5,2.0,0.8,herreca01
111,Solomon Hill,2020,2020,1,48,901,96,233,56,147,26,38,24,144,94,31,7,40,73,274,.412,.381,.684,18.8,5.7,3.0,2.0,hillso01
112,Justin Holiday,2019,2019,1,44,1282,149,383,65,195,54,60,27,154,61,54,15,57,85,417,.389,.333,.900,29.1,9.5,3.5,1.4,holidju01
113,Ryan Hollins,2016,2016,1,32,412,45,72,0,0,26,42,40,87,10,6,20,21,58,116,.625,,.619,12.9,3.6,2.7,0.3,holliry01
114,Lester Hudson,2010,2012,2,12,81,17,46,3,14,8,10,4,10,6,5,1,7,5,45,.370,.214,.800,6.8,3.8,0.8,0.5,hudsole01
115,Ryan Humphrey,2003,2005,3,50,450,55,142,0,3,23,48,56,120,11,16,3,27,56,133,.387,.000,.479,9.0,2.7,2.4,0.2,humphry01
116,Steven Hunter,2010,2010,1,21,158,17,43,0,0,19,36,18,42,0,1,10,9,10,53,.395,,.528,7.5,2.5,2.0,0.0,huntest01
117,Vince Hunter,2018,2018,1,4,7,3,5,0,0,0,0,2,3,0,0,1,1,0,6,.600,,,1.8,1.5,0.8,0.0,huntevi01
118,Bobby Hurley,1998,1998,1,27,458,46,123,1,7,29,39,5,30,97,10,0,44,43,122,.374,.143,.744,17.0,4.5,1.1,3.6,hurlebo01
119,Allen Iverson,2010,2010,1,3,67,15,26,1,1,6,12,1,4,11,1,0,7,5,37,.577,1.000,.500,22.3,12.3,1.3,3.7,iversal01
120,Bobby Jackson,2006,2006,1,71,1775,286,748,129,332,107,146,44,223,195,61,1,101,155,808,.382,.389,.733,25.0,11.4,3.1,2.7,jacksbo01
121,Jaren Jackson Jr.,2019,2023,5,267,7308,1550,3325,441,1253,850,1076,372,1476,300,242,558,449,993,4391,.466,.352,.790,27.4,16.4,5.5,1.1,jacksja02
122,Josh Jackson,2020,2020,1,22,381,70,159,23,72,35,50,11,66,35,18,9,28,40,198,.440,.319,.700,17.3,9.0,3.0,1.6,jacksjo02
123,Casey Jacobsen,2008,2008,1,53,547,39,115,16,72,13,17,12,65,20,5,1,16,34,107,.339,.222,.765,10.3,2.0,1.2,0.4,jacobca01
124,Marko Jarić,2009,2009,1,53,605,48,145,11,28,29,41,23,65,74,29,11,49,62,136,.331,.393,.707,11.4,2.6,1.2,1.4,jaricma01
125,DaQuan Jeffries,2022,2022,1,3,9,1,2,0,1,0,0,0,2,1,0,0,0,1,2,.500,.000,,3.0,0.7,0.7,0.3,jeffrda01
126,Alexander Johnson,2007,2007,1,59,753,91,169,0,0,78,118,50,181,17,25,35,47,137,260,.538,,.661,12.8,4.4,3.1,0.3,johnsal01
127,Brice Johnson,2018,2018,1,9,60,13,31,0,0,1,3,7,18,1,3,4,1,6,27,.419,,.333,6.7,3.0,2.0,0.1,johnsbr02
128,Chris Johnson,2013,2013,1,8,102,11,25,6,18,1,2,5,11,2,4,0,3,5,29,.440,.333,.500,12.8,3.6,1.4,0.3,johnsch04
129,James Johnson,2014,2014,1,52,956,143,308,22,87,76,90,60,166,111,42,57,66,102,384,.464,.253,.844,18.4,7.4,3.2,2.1,johnsja01
130,Omari Johnson,2018,2018,1,4,75,9,21,4,12,0,0,4,11,7,2,0,3,6,22,.429,.333,,18.8,5.5,2.8,1.8,johnsom01
131,Bobby Jones,2008,2008,1,9,137,14,36,3,13,9,10,10,27,11,5,2,5,17,40,.389,.231,.900,15.2,4.4,3.0,1.2,jonesbo02
132,Dahntay Jones,2004,2007,4,221,3441,427,967,32,97,247,342,85,349,140,95,54,183,404,1133,.442,.330,.722,15.6,5.1,1.6,0.6,jonesda02
133,Damon Jones,2001,2001,1,71,1415,170,416,84,231,37,52,16,124,224,36,1,76,58,461,.409,.364,.712,19.9,6.5,1.7,3.2,jonesda01
134,Eddie Jones,2006,2007,2,104,2998,349,873,155,448,193,249,49,340,210,153,29,116,255,1046,.400,.346,.775,28.8,10.1,3.3,2.0,jonesed02
135,Tyus Jones,2020,2023,4,288,5943,935,2104,293,795,218,269,75,619,1285,272,20,223,139,2381,.444,.369,.810,20.6,8.3,2.1,4.5,jonesty01
136,Luke Kennard,2023,2023,1,24,590,90,171,74,137,18,19,9,75,54,13,1,16,35,272,.526,.540,.947,24.6,11.3,3.1,2.3,kennalu01
137,Chris King,1996,1996,1,80,1930,250,585,44,113,90,136,102,285,104,68,33,103,163,634,.427,.389,.662,24.1,7.9,3.6,1.3,kingch01
138,Tarence Kinsey,2007,2008,2,59,1063,155,342,16,53,83,104,32,109,43,56,1,49,68,409,.453,.302,.798,18.0,6.9,1.8,0.7,kinseta01
139,Brevin Knight,2002,2003,2,108,2079,238,562,4,16,107,152,26,190,535,148,9,205,258,587,.423,.250,.704,19.3,5.4,1.8,5.0,knighbr01
140,John Konchar,2020,2023,4,206,3542,366,757,138,369,81,117,204,814,278,159,59,91,249,951,.483,.374,.692,17.2,4.6,4.0,1.3,konchjo01
141,Kosta Koufos,2014,2015,2,161,2697,409,817,0,0,115,178,281,844,76,61,134,136,330,933,.501,,.646,16.8,5.8,5.2,0.5,koufoko01
142,Jake LaRavia,2023,2023,1,35,414,37,95,24,71,7,9,19,63,21,12,4,18,49,105,.389,.338,.778,11.8,3.0,1.8,0.6,laravja01
143,Acie Law,2011,2011,1,11,94,3,19,0,6,6,10,3,11,14,4,0,10,10,12,.158,.000,.600,8.5,1.1,1.0,1.3,lawac01
144,Eric Leckner,1997,1997,1,19,115,14,30,0,0,6,12,5,35,4,3,2,10,32,34,.467,,.500,6.1,1.8,1.8,0.2,leckner01
145,Courtney Lee,2014,2016,3,177,5312,685,1493,190,504,268,311,61,434,310,172,47,175,298,1828,.459,.377,.862,30.0,10.3,2.5,1.8,leeco01
146,Jon Leuer,2013,2015,3,131,1562,257,543,30,78,78,113,95,389,69,39,22,65,159,622,.473,.385,.690,11.9,4.7,3.0,0.5,leuerjo01
147,Kenneth Lofton Jr.,2023,2023,1,24,176,49,93,6,17,16,27,19,51,20,5,2,12,28,120,.527,.353,.593,7.3,5.0,2.1,0.8,loftoke01
148,Grant Long,2000,2002,3,174,4295,378,871,7,36,253,351,193,739,262,180,37,214,391,1016,.434,.194,.721,24.7,5.8,4.2,1.5,longgr01
149,Felipe López,1999,2000,2,112,1999,280,640,15,62,154,244,128,290,106,81,31,135,222,729,.438,.242,.631,17.8,6.5,2.6,0.9,lopezfe01
150,Kyle Lowry,2007,2009,3,141,3335,382,902,56,217,397,537,66,392,506,154,31,218,294,1217,.424,.258,.739,23.7,8.6,2.8,3.6,lowryky01
151,Kalin Lucas,2015,2015,1,1,6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,.000,,,6.0,0.0,0.0,0.0,lucaska01
152,George Lynch,1997,1998,2,123,2552,385,807,17,61,171,255,245,623,198,128,58,168,258,958,.477,.279,.671,20.7,7.8,5.1,1.6,lynchge01
153,Sam Mack,1998,1999,2,76,1991,308,771,152,377,90,107,37,186,124,61,12,89,170,858,.399,.403,.841,26.2,11.3,2.4,1.6,macksa01
154,Shelvin Mack,2019,2019,1,53,1204,161,389,46,128,53,75,18,102,182,45,4,62,81,421,.414,.359,.707,22.7,7.9,1.9,3.4,macksh01
155,Rich Manning,1996,1997,2,45,439,67,161,2,4,15,22,24,78,9,6,7,22,55,151,.416,.500,.682,9.8,3.4,1.7,0.2,manniri01
156,Cuonzo Martin,1996,1996,1,4,19,3,5,3,3,0,2,1,2,2,1,0,1,1,9,.600,1.000,.000,4.8,2.3,0.5,0.5,marticu01
157,Darrick Martin,1996,1996,1,24,402,59,131,5,22,38,46,13,38,61,27,1,37,47,161,.450,.227,.826,16.8,6.7,1.6,2.5,martida01
