,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
55,Anthony Carter,2012,2012,1,24,209,17,53,5,17,8,10,5,33,34,8,4,17,20,47,.321,.294,.800,8.7,2.0,1.4,1.4,cartean01
56,Vince Carter,1999,2005,7,403,15114,3541,7944,554,1445,1784,2277,740,2091,1553,534,415,928,1188,9420,.446,.383,.783,37.5,23.4,5.2,3.9,cartevi01
57,Justin Champagnie,2022,2023,2,39,292,34,70,10,28,9,9,38,76,12,8,4,8,33,87,.486,.357,1.000,7.5,2.2,1.9,0.3,champju01
58,Chris Childs,2001,2002,2,95,2126,139,409,45,162,79,96,28,218,470,78,13,181,259,402,.340,.278,.823,22.4,4.2,2.3,4.9,childch01
59,Doug Christie,1996,2000,5,314,10916,1532,3698,431,1213,953,1166,327,1448,1197,664,187,767,821,4448,.414,.355,.817,34.8,14.2,4.6,3.8,chrisdo01
60,Keon Clark,2001,2002,2,127,3153,547,1095,0,6,234,365,260,851,126,74,232,182,401,1328,.500,.000,.641,24.8,10.5,6.7,1.0,clarkke01
61,Omar Cook,2005,2005,1,5,74,10,24,0,4,3,6,2,7,22,6,1,6,6,23,.417,.000,.500,14.8,4.6,1.4,4.4,cookom01
62,Tyrone Corbin,2001,2001,1,15,117,9,38,0,5,2,4,3,13,4,2,0,3,18,20,.237,.000,.500,7.8,1.3,0.9,0.3,corbity01
63,William Cunningham,1999,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,cunniwi01
64,Earl Cureton,1997,1997,1,9,46,3,8,0,0,1,3,4,9,4,0,0,1,10,7,.375,,.333,5.1,0.8,1.0,0.4,curetea01
65,Dell Curry,2000,2002,3,194,2937,497,1183,202,518,100,120,50,266,225,81,23,120,182,1296,.420,.390,.833,15.1,6.7,1.4,1.2,curryde01
66,Michael Curry,2004,2004,1,70,1229,76,196,3,15,49,58,22,87,53,23,5,48,153,204,.388,.200,.845,17.6,2.9,1.2,0.8,currymi01
67,Lloyd Daniels,1998,1998,1,6,82,12,29,2,9,8,10,4,7,4,3,2,4,4,34,.414,.222,.800,13.7,5.7,1.2,0.7,daniell01
68,Kornél Dávid,2001,2001,1,17,140,15,29,0,0,12,13,9,33,4,2,3,7,20,42,.517,,.923,8.2,2.5,1.9,0.2,davidko01
69,Antonio Davis,2000,2006,6,310,10809,1419,3333,0,2,1156,1501,957,2839,518,148,405,562,943,3994,.426,.000,.770,34.9,12.9,9.2,1.7,davisan01
70,Ed Davis,2011,2013,3,176,4223,573,1047,0,1,208,336,397,1200,155,104,168,160,450,1354,.547,.000,.619,24.0,7.7,6.8,0.9,davised01
71,Hubert Davis,1997,1997,1,36,623,74,184,16,70,17,23,11,40,34,11,2,21,40,181,.402,.229,.739,17.3,5.0,1.1,0.9,davishu01
72,Terence Davis,2020,2021,2,106,1702,286,646,138,364,67,77,59,303,152,56,21,105,172,777,.443,.379,.870,16.1,7.3,2.9,1.4,daviste02
73,Austin Daye,2014,2014,1,8,33,3,13,0,8,2,3,2,7,2,0,0,0,4,8,.231,.000,.667,4.1,1.0,0.9,0.3,dayeau01
74,Nando De Colo,2014,2014,1,21,193,22,60,8,22,13,13,8,28,33,7,3,14,23,65,.367,.364,1.000,9.2,3.1,1.3,1.6,decolna01
75,Sam Dekker,2022,2022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,dekkesa01
76,Carlos Delfino,2008,2008,1,82,1928,251,632,120,314,116,156,66,359,145,69,11,75,177,738,.397,.382,.744,23.5,9.0,4.4,1.8,delfica01
