,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
1,Precious Achiuwa,2021,2021,1,61,737,124,228,0,1,56,110,73,208,29,20,28,43,91,304,.544,.000,.509,12.1,5.0,3.4,0.5,achiupr01
2,Bam Adebayo,2018,2023,6,418,12264,2358,4259,8,62,1422,1883,922,3538,1429,428,370,895,1047,6146,.554,.129,.755,29.3,14.7,8.5,3.4,adebaba01
3,Blake Ahearn,2008,2008,1,12,177,15,57,10,34,30,31,1,19,19,6,0,16,20,70,.263,.294,.968,14.8,5.8,1.6,1.6,ahearbl01
4,Gary Alexander,1994,1994,1,4,12,1,2,0,0,0,2,1,3,1,0,0,1,3,2,.500,,.000,3.0,0.5,0.8,0.3,alexaga01
5,Kyle Alexander,2020,2020,1,2,13,1,2,0,0,0,0,2,3,0,0,0,1,1,2,.500,,,6.5,1.0,1.5,0.0,alexaky01
6,Malik Allen,2002,2005,4,151,3343,475,1115,0,5,143,178,215,634,86,56,125,168,360,1093,.426,.000,.803,22.1,7.2,4.2,0.6,allenma01
7,Ray Allen,2013,2014,2,152,3971,532,1194,255,641,245,274,63,422,278,121,23,187,244,1564,.446,.398,.894,26.1,10.3,2.8,1.8,allenra02
8,Rafer Alston,2004,2010,2,107,3236,347,933,191,515,118,161,30,280,444,137,23,162,265,1003,.372,.371,.733,30.2,9.4,2.6,4.1,alstora01
9,Chris Andersen,2013,2016,4,181,3188,372,615,11,33,262,380,265,859,82,75,205,119,343,1017,.605,.333,.689,17.6,5.6,4.7,0.5,anderch01
10,Derek Anderson,2006,2006,1,23,465,40,130,21,67,32,38,9,60,48,8,2,17,49,133,.308,.313,.842,20.2,5.8,2.6,2.1,anderde01
11,Ryan Anderson,2019,2019,1,10,44,2,9,2,6,1,2,4,9,2,1,0,2,2,7,.222,.333,.500,4.4,0.7,0.9,0.2,anderry01
12,Shandon Anderson,2005,2006,2,113,1789,152,341,10,47,67,84,58,271,100,57,20,73,211,381,.446,.213,.798,15.8,3.4,2.4,0.9,andersh01
