,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
1,Blake Ahearn,2009,2009,1,3,19,2,6,2,4,2,2,0,1,2,1,0,1,3,8,.333,.500,1.000,6.3,2.7,0.3,0.7,ahearbl01
2,LaMarcus Aldridge,2016,2021,6,376,12090,2913,5801,148,438,1351,1612,965,3020,760,214,471,546,813,7325,.502,.338,.838,32.2,19.5,8.0,2.0,aldrila01
3,Cory Alexander,1996,1998,3,177,2515,317,790,140,382,136,191,45,212,446,134,23,261,295,910,.401,.366,.712,14.2,5.1,1.2,2.5,alexaco01
4,Derek Anderson,2001,2001,1,82,2859,413,993,101,253,342,402,75,363,301,120,14,165,188,1269,.416,.399,.851,34.9,15.5,4.4,3.7,anderde01
5,Greg Anderson,1988,1997,4,292,6388,993,1979,1,10,473,849,602,1737,184,228,316,418,740,2460,.502,.100,.557,21.9,8.4,5.9,0.6,andergr01
6,James Anderson,2011,2013,3,87,983,108,280,42,125,60,79,21,116,68,14,10,50,66,318,.386,.336,.759,11.3,3.7,1.3,0.8,anderja01
7,Kyle Anderson,2015,2018,4,257,4601,493,1031,49,145,220,300,147,920,444,241,122,202,302,1255,.478,.338,.733,17.9,4.9,3.6,1.7,anderky01
8,Michael Anderson,1989,1989,1,36,730,73,175,1,7,57,82,44,89,153,44,3,84,64,204,.417,.143,.695,20.3,5.7,2.5,4.3,andermi01
9,Willie Anderson,1989,1995,7,451,13611,2487,5228,57,233,915,1170,487,1794,1874,505,279,1001,1234,5946,.476,.245,.782,30.2,13.2,4.0,4.2,anderwi01
10,Joel Anthony,2017,2017,1,19,122,10,16,0,0,5,8,8,31,3,2,6,4,11,25,.625,,.625,6.4,1.3,1.6,0.2,anthojo01
11,Bird Averitt,1974,1974,1,74,1639,343,912,9,50,156,224,44,121,132,63,6,137,166,851,.376,.180,.696,22.1,11.5,1.6,1.8,averibi01
12,Jeff Ayres,2014,2015,2,124,1335,156,269,0,0,65,91,126,375,74,21,33,89,206,377,.580,,.714,10.8,3.0,3.0,0.6,pendeje02
13,Gene Banks,1982,1985,4,323,9113,1529,2811,2,22,740,1017,716,2050,914,303,74,583,904,3800,.544,.091,.728,28.2,11.8,6.3,2.8,banksge01
14,Steve Bardo,1992,1992,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,1.0,0.0,1.0,0.0,bardost01
15,Dominick Barlow,2023,2023,1,28,408,46,86,0,4,18,25,46,102,24,10,19,15,56,110,.535,.000,.720,14.6,3.9,3.6,0.9,barlodo01
16,Brent Barry,2005,2008,4,261,5186,629,1389,356,881,274,331,87,564,493,151,62,195,353,1888,.453,.404,.828,19.9,7.2,2.2,1.9,barrybr01
