,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
95,Josh Davis,2006,2006,1,4,12,1,4,0,1,0,0,2,3,1,1,0,1,2,2,.250,.000,,3.0,0.5,0.8,0.3,davisjo02
96,Mark Davis,1989,1989,1,31,251,48,97,1,9,26,32,15,36,14,13,5,12,38,123,.495,.111,.813,8.1,4.0,1.2,0.5,davisma01
97,Mickey Davis,1973,1977,5,286,3711,579,1265,,,320,380,182,800,295,76,16,,363,1478,.458,,.842,13.0,5.2,2.8,1.0,davismi02
98,Todd Day,1993,1996,4,237,6946,1176,2793,255,775,725,995,362,945,394,286,166,415,753,3332,.421,.329,.729,29.3,14.1,4.0,1.7,dayto01
99,Vinny Del Negro,1999,2000,2,115,2304,267,595,21,54,75,89,23,209,334,69,3,103,143,630,.449,.389,.843,20.0,5.5,1.8,2.9,delnevi01
100,Javin DeLaurier,2022,2022,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,,,3.0,0.0,1.0,0.0,delauja01
101,Carlos Delfino,2010,2012,3,178,5406,681,1698,325,888,191,242,95,802,437,235,39,242,309,1878,.401,.366,.789,30.4,10.6,4.5,2.5,delfica01
102,Matthew Dellavedova,2017,2019,3,126,2795,269,705,112,304,111,127,38,221,531,69,0,193,229,761,.382,.368,.874,22.2,6.0,1.8,4.2,dellama01
103,Mamadi Diakite,2021,2021,1,14,141,16,40,1,8,11,14,8,34,8,7,6,3,16,44,.400,.125,.786,10.1,3.1,2.4,0.6,diakima01
104,Bill Dinwiddie,1972,1972,1,23,144,16,57,,,5,9,,32,9,,,,23,37,.281,,.556,6.3,1.6,1.4,0.4,dinwibi01
105,Donte DiVincenzo,2019,2022,4,176,4086,574,1355,257,750,146,196,181,823,417,181,44,228,289,1551,.424,.343,.745,23.2,8.8,4.7,2.4,divindo01
106,Keyon Dooling,2011,2011,1,80,1757,206,519,81,234,78,94,12,117,243,54,4,91,119,571,.397,.346,.830,22.0,7.1,1.5,3.0,doolike01
107,Sherman Douglas,1996,1997,2,148,4417,615,1211,77,217,249,350,106,350,824,139,15,318,338,1556,.508,.355,.711,29.8,10.5,2.4,5.6,douglsh01
108,Chris Douglas-Roberts,2011,2011,1,44,884,117,273,15,46,74,89,7,88,50,29,13,35,73,323,.429,.326,.831,20.1,7.3,2.0,1.1,douglch01
109,Jeff Dowtin,2022,2022,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.000,.000,,3.0,0.0,0.0,0.0,dowtije01
110,Goran Dragić,2023,2023,1,7,83,14,36,7,17,4,4,3,12,12,2,0,7,2,39,.389,.412,1.000,11.9,5.6,1.7,1.7,dragigo01
111,Terry Driscoll,1973,1975,3,134,1708,231,526,,,74,110,80,512,112,22,16,,271,536,.439,,.673,12.7,4.0,3.8,0.8,driscte01
112,Kevin Duckworth,1996,1996,1,8,58,3,14,0,0,3,6,2,7,2,2,0,2,19,9,.214,,.500,7.3,1.1,0.9,0.3,duckwke01
113,Jared Dudley,2015,2015,1,72,1717,198,423,74,192,48,67,45,220,130,72,11,62,113,518,.468,.385,.716,23.8,7.2,3.1,1.8,dudleja01
114,Mike Dunleavy,1984,1990,4,43,885,139,278,38,103,64,77,12,61,173,28,4,84,113,380,.500,.369,.831,20.6,8.8,1.4,4.0,dunlemi01
115,Mike Dunleavy,2012,2013,2,130,3388,515,1128,211,507,221,271,60,495,262,67,43,148,222,1462,.457,.416,.815,26.1,11.2,3.8,2.0,dunlemi02
116,Trevon Duval,2019,2019,1,3,6,2,3,1,1,0,0,0,1,2,0,0,0,0,5,.667,1.000,,2.0,1.7,0.3,0.7,duvaltr01
117,Jim Eakins,1978,1978,1,17,155,14,34,,,21,26,12,29,12,4,7,9,25,49,.412,,.808,9.1,2.9,1.7,0.7,eakinji01
118,Acie Earl,1997,1997,1,9,43,8,23,0,0,10,14,2,11,2,3,1,2,7,26,.348,,.714,4.8,2.9,1.2,0.2,earlac01
119,Blue Edwards,1993,1994,2,164,5051,936,1883,75,212,388,489,227,711,385,212,72,321,477,2335,.497,.354,.793,30.8,14.2,4.3,2.3,edwarbl01
120,Dale Ellis,1991,2000,3,120,3139,691,1462,191,462,228,303,137,368,141,79,23,158,227,1801,.473,.413,.752,26.2,15.0,3.1,1.2,ellisda01
121,Monta Ellis,2012,2013,2,103,3831,742,1772,106,373,357,463,49,389,619,198,42,308,216,1947,.419,.284,.771,37.2,18.9,3.8,6.0,ellismo01
122,Len Elmore,1981,1981,1,72,925,76,212,0,0,54,75,68,208,69,37,52,44,178,206,.358,,.720,12.8,2.9,2.9,1.0,elmorle01
123,Francisco Elson,2009,2010,2,70,1039,87,182,1,4,35,41,105,242,34,37,36,49,151,210,.478,.250,.854,14.8,3.0,3.5,0.5,elsonfr01
124,Wayne Embry,1969,1969,1,78,2355,382,894,,,259,390,,672,149,,,,302,1023,.427,,.664,30.2,13.1,8.6,1.9,embrywa01
125,Chris Engler,1985,1987,2,6,51,3,14,0,0,1,1,4,17,3,1,2,0,10,7,.214,,1.000,8.5,1.2,2.8,0.5,englech01
126,Alex English,1977,1978,2,142,2200,475,910,,,150,203,212,563,154,58,73,137,256,1100,.522,,.739,15.5,7.7,4.0,1.1,englial01
127,Tyler Ennis,2015,2016,2,71,1007,127,310,23,76,28,39,19,103,154,43,4,80,97,305,.410,.303,.718,14.2,4.3,1.5,2.2,ennisty01
128,Mike Evans,1981,1982,2,85,1107,158,342,2,16,58,76,25,99,189,43,4,87,140,376,.462,.125,.763,13.0,4.4,1.2,2.2,evansmi01
129,Jamie Feick,1998,1999,2,47,453,39,91,4,13,20,41,45,126,16,25,17,21,67,102,.429,.308,.488,9.6,2.2,2.7,0.3,feickja01
130,Kenny Fields,1985,1987,3,133,1677,294,597,0,4,119,173,100,289,118,61,25,110,257,707,.492,.000,.688,12.6,5.3,2.2,0.9,fieldke01
131,Marcus Fizer,2005,2005,1,54,903,133,292,0,6,70,103,29,175,64,25,13,63,96,336,.455,.000,.680,16.7,6.2,3.2,1.2,fizerma01
132,Bryn Forbes,2021,2021,1,70,1354,250,529,154,341,47,61,11,112,45,24,1,44,77,701,.473,.452,.770,19.3,10.0,1.6,0.6,forbebr01
133,Phil Ford,1983,1983,1,70,1447,193,410,1,8,90,113,18,96,252,46,3,113,168,477,.471,.125,.796,20.7,6.8,1.4,3.6,fordph01
134,T.J. Ford,2004,2006,2,127,4029,481,1187,40,125,267,346,100,488,829,164,10,358,319,1269,.405,.320,.772,31.7,10.0,3.8,6.5,fordtj01
135,Greg Foster,1994,2002,2,9,43,6,16,0,4,5,6,0,11,1,0,1,1,7,17,.375,.000,.833,4.8,1.9,1.2,0.1,fostegr01
136,Jim Fox,1976,1976,1,70,918,105,203,,,62,79,82,235,42,27,16,,129,272,.517,,.785,13.1,3.9,3.4,0.6,foxji01
137,Tim Frazier,2019,2019,1,12,211,28,66,10,24,9,13,9,31,42,5,1,16,19,75,.424,.417,.692,17.6,6.3,2.6,3.5,fraziti01
138,Gary Freeman,1971,1971,1,41,335,62,122,,,28,38,,98,31,,,,63,152,.508,,.737,8.2,3.7,2.4,0.8,freemga01
139,Dan Gadzuric,2003,2010,8,483,7317,995,1969,0,7,357,708,838,2186,182,228,418,327,1155,2347,.505,.000,.504,15.1,4.9,4.5,0.4,gadzuda01
140,Reece Gaines,2005,2006,2,23,133,13,35,1,4,1,4,1,3,7,3,1,4,6,28,.371,.250,.250,5.8,1.2,0.1,0.3,gainere01
141,Langston Galloway,2022,2022,1,3,49,1,13,0,8,0,0,2,10,7,1,0,1,2,2,.077,.000,,16.3,0.7,3.3,2.3,gallola01
142,Dave Gambee,1969,1969,1,34,624,150,323,,,110,133,,179,32,,,,99,410,.464,,.827,18.4,12.1,5.3,0.9,gambeda01
143,Dick Garrett,1974,1974,1,15,87,11,35,,,5,6,5,14,9,3,0,,15,27,.314,,.833,5.8,1.8,0.9,0.6,garredi01
144,Rowland Garrett,1977,1977,1,33,383,66,146,,,23,29,27,72,20,14,7,,50,155,.452,,.793,11.6,4.7,2.2,0.6,garrero01
145,Pau Gasol,2019,2019,1,3,30,1,6,1,3,1,2,0,10,2,0,1,2,1,4,.167,.333,.500,10.0,1.3,3.3,0.7,gasolpa01
146,Chris Gatling,1999,1999,1,30,494,81,168,1,7,25,69,31,114,20,24,6,33,78,188,.482,.143,.362,16.5,6.3,3.8,0.7,gatlich01
147,Tate George,1995,1995,1,3,8,1,3,0,1,2,2,1,1,0,0,0,2,1,4,.333,.000,1.000,2.7,1.3,0.3,0.0,georgta01
148,John Gianelli,1978,1979,2,164,4384,563,1156,,,151,225,288,917,352,98,149,253,385,1277,.487,,.671,26.7,7.8,5.6,2.1,gianejo01
149,Eddie Gill,2009,2009,1,6,43,6,9,2,3,0,0,0,4,11,3,1,5,10,14,.667,.667,,7.2,2.3,0.7,1.8,gilled01
150,Kendall Gill,2005,2005,1,14,284,32,80,3,9,18,20,11,37,27,14,4,9,37,85,.400,.333,.900,20.3,6.1,2.6,1.9,gillke01
151,Armen Gilliam,1997,1999,3,196,4832,674,1421,0,5,545,693,315,1062,176,148,89,289,431,1893,.474,.000,.786,24.7,9.7,5.4,0.9,gilliar01
152,Mike Glenn,1986,1987,2,42,607,99,203,0,0,52,56,4,59,40,10,3,18,45,250,.488,,.929,14.5,6.0,1.4,1.0,glennmi01
153,Mike Gminski,1994,1994,1,8,54,5,24,0,0,3,4,3,15,0,0,3,2,3,13,.208,,.750,6.8,1.6,1.9,0.0,gminsmi01
154,Anthony Goldwire,2005,2005,1,24,482,53,121,29,71,19,23,9,51,78,15,0,14,27,154,.438,.408,.826,20.1,6.4,2.1,3.3,goldwan01
155,Drew Gooden,2011,2013,3,107,2480,463,1080,20,80,268,326,216,632,197,72,58,164,231,1214,.429,.250,.822,23.2,11.3,5.9,1.8,goodedr01
156,Paul Grant,1999,1999,1,2,5,1,2,0,0,0,0,0,0,0,1,0,1,0,2,.500,,,2.5,1.0,0.0,0.0,grantpa01
157,Jeff Grayer,1989,1992,4,246,4708,775,1734,20,79,319,472,348,755,402,170,33,292,380,1889,.447,.253,.676,19.1,7.7,3.1,1.6,grayeje01
158,Bob Greacen,1970,1971,2,43,335,45,121,,,21,35,,65,40,,,,56,111,.372,,.600,7.8,2.6,1.5,0.9,greacbo01
159,A.J. Green,2023,2023,1,35,345,53,125,44,105,4,4,6,45,22,6,0,9,31,154,.424,.419,1.000,9.9,4.4,1.3,0.6,greenaj01
