,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
214,Terrence Jones,2013,2019,5,180,4292,754,1476,74,238,265,423,330,1028,179,106,216,171,325,1847,.511,.311,.626,23.8,10.3,5.7,1.0,joneste01
215,Frank Kaminsky,2023,2023,1,10,59,6,19,2,10,4,4,4,16,11,1,3,0,1,18,.316,.200,1.000,5.9,1.8,1.6,1.1,kaminfr01
216,Goo Kennedy,1977,1977,1,32,277,31,58,,,3,8,14,51,6,7,5,,45,65,.534,,.375,8.7,2.0,1.6,0.2,kennego01
217,Toby Kimball,1968,1971,4,314,6921,922,2226,,,456,849,,2643,394,,,,804,2300,.414,,.537,22.0,7.3,8.4,1.3,kimbato01
218,Brandin Knight,2005,2005,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,.000,,,3.0,0.0,0.0,1.0,knighbr02
219,Brandon Knight,2019,2019,1,12,118,11,47,5,32,9,11,1,9,9,2,0,5,14,36,.234,.156,.818,9.8,3.0,0.8,0.8,knighbr03
220,Don Kojis,1968,1970,3,206,7256,1555,3527,,,927,1250,,1874,468,,,,697,4037,.441,,.742,35.2,19.6,9.1,2.3,kojisdo01
221,Kevin Kunnert,1974,1978,5,341,8699,1568,3271,,,414,603,993,2891,532,175,413,141,1282,3550,.479,,.687,25.5,10.4,8.5,1.6,kunneke01
222,C.J. Kupec,1978,1978,1,49,626,84,197,,,27,33,27,91,50,10,3,24,54,195,.426,,.818,12.8,4.0,1.9,1.0,kupeccj01
223,Rodions Kurucs,2021,2021,1,11,75,5,21,2,15,1,2,2,11,4,6,4,9,7,13,.238,.133,.500,6.8,1.2,1.0,0.4,kurucro01
224,Anthony Lamb,2021,2021,1,24,415,46,118,23,71,18,21,27,70,23,6,5,19,34,133,.390,.324,.857,17.3,5.5,2.9,1.0,lamban01
225,Maciej Lampe,2006,2006,1,4,12,2,7,0,0,0,2,3,5,0,0,0,2,0,4,.286,,.000,3.0,1.0,1.3,0.0,lampema01
226,Carl Landry,2008,2010,3,163,3593,677,1189,1,4,464,582,342,836,100,71,84,180,410,1819,.569,.250,.797,22.0,11.2,5.1,0.6,landrca01
227,Dan Langhi,2001,2002,2,67,675,86,224,1,5,24,40,35,108,18,15,6,17,41,197,.384,.200,.600,10.1,2.9,1.6,0.3,langhda01
228,Stu Lantz,1969,1972,4,318,10048,1817,4093,,,1313,1634,,1242,1067,,,,857,4947,.444,,.804,31.6,15.6,3.9,3.4,lantzst01
229,Ty Lawson,2016,2016,1,53,1176,111,287,31,94,56,80,20,89,180,43,6,82,71,309,.387,.330,.700,22.2,5.8,1.7,3.4,lawsoty01
230,Allen Leavell,1980,1989,10,700,16248,2549,5666,141,603,1445,1733,294,1164,3339,929,120,1324,1489,6684,.450,.234,.834,23.2,9.5,1.7,4.8,leaveal01
231,Courtney Lee,2011,2012,2,139,3480,504,1156,158,391,166,206,77,368,188,126,40,132,208,1332,.436,.404,.806,25.0,9.6,2.6,1.4,leeco01
232,Jeremy Lin,2013,2014,2,153,4694,691,1559,169,486,434,540,66,434,791,202,56,412,371,1985,.443,.348,.804,30.7,13.0,2.8,5.2,linje01
233,Randy Livingston,1997,1997,1,64,981,100,229,9,22,42,65,32,94,155,39,12,102,107,251,.437,.409,.646,15.3,3.9,1.5,2.4,livinra01
234,Lewis Lloyd,1984,1990,5,297,7951,1853,3531,9,43,669,856,402,916,1002,299,101,684,701,4384,.525,.209,.782,26.8,14.8,3.1,3.4,lloydle01
