,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
57,Nate Darling,2021,2021,1,7,26,2,7,2,7,3,3,1,1,1,0,1,1,1,9,.286,.286,1.000,3.7,1.3,0.1,0.1,darlina01
58,Jermareo Davidson,2008,2008,1,38,322,51,125,0,0,18,28,21,62,13,7,15,17,46,120,.408,,.643,8.5,3.2,1.6,0.3,davidje01
59,Baron Davis,2000,2002,3,246,8033,1150,2731,280,863,521,828,270,922,1605,439,102,612,709,3101,.421,.324,.629,32.7,12.6,3.7,6.5,davisba01
60,Ricky Davis,1999,2000,2,94,1127,175,387,2,16,84,110,69,167,120,60,15,100,85,436,.452,.125,.764,12.0,4.6,1.8,1.3,davisri01
61,Tony Delk,1997,1998,2,64,901,122,260,53,113,43,53,31,101,102,36,6,72,79,340,.469,.469,.811,14.1,5.3,1.6,1.6,delkto01
62,Boris Diaw,2009,2012,4,260,8918,1238,2573,237,685,297,418,377,1381,1107,204,166,606,643,3010,.481,.346,.711,34.3,11.6,5.3,4.3,diawbo01
63,DeSagana Diop,2009,2013,5,133,1578,98,235,0,1,17,64,148,396,67,37,89,78,185,213,.417,.000,.266,11.9,1.6,3.0,0.5,diopde01
64,Vlade Divac,1997,1998,2,145,4645,685,1383,14,61,307,447,424,1243,473,186,274,307,456,1691,.495,.230,.687,32.0,11.7,8.6,3.3,divacvl01
65,Chris Douglas-Roberts,2014,2014,1,49,1016,111,252,51,132,66,82,16,119,51,29,16,36,61,339,.440,.386,.805,20.7,6.9,2.4,1.0,douglch01
66,Terry Dozier,1990,1990,1,9,92,9,27,0,1,4,8,7,15,3,6,2,7,10,22,.333,.000,.500,10.2,2.4,1.7,0.3,doziete01
67,Bryce Drew,2002,2002,1,61,774,78,182,31,73,23,29,14,72,101,32,2,33,49,210,.429,.425,.793,12.7,3.4,1.2,1.7,drewbr01
